name,author.1,author.2,author.3,narrator.1,narrator.2,narrator.3,time,Duration,releasedate,language,stars,price,releaseinfo
Geronimo Stilton #11 & #12,GeronimoStilton,,,BillLobely,,,2 hrs and 20 mins,0.02:20:00,04-08-2008,English,5,468.00,"04-08-2008, English"
The Burning Maze,RickRiordan,,,RobbieDaymond,,,13 hrs and 8 mins,0.13:08:00,01-05-2018,English,4.5,820.00,"01-05-2018, English"
The Deep End,JeffKinney,,,DanRussell,,,2 hrs and 3 mins,0.02:03:00,06-11-2020,English,4.5,410.00,"06-11-2020, English"
Daughter Of The Deep,RickRiordan,,,SoneelaNankani,,,11 hrs and 16 mins,0.11:16:00,05-10-2021,English,4.5,615.00,"05-10-2021, English"
"The Lightning Thief: Percy Jackson, Book 1",RickRiordan,,,JesseBernstein,,,10 hrs,0.10:00:00,13-01-2010,English,4.5,820.00,"13-01-2010, English"
The Hunger Games: Special Edition,SuzanneCollins,,,TatianaMaslany,,,10 hrs and 35 mins,0.10:35:00,30-10-2018,English,5,656.00,"30-10-2018, English"
Quest For The Diamond Sword,WinterMorgan,,,LukeDaniels,,,2 hrs and 23 mins,0.02:23:00,25-11-2014,English,5,233.00,"25-11-2014, English"
The Dark Prophecy,RickRiordan,,,RobbieDaymond,,,12 hrs and 32 mins,0.12:32:00,02-05-2017,English,5,820.00,"02-05-2017, English"
Merlin Mission Collection,MaryPopeOsborne,,,MaryPopeOsborne,,,10 hrs and 56 mins,0.10:56:00,02-05-2017,English,5,1256.00,"02-05-2017, English"
The Tyrant’S Tomb,RickRiordan,,,RobbieDaymond,,,13 hrs and 22 mins,0.13:22:00,24-09-2019,English,5,820.00,"24-09-2019, English"
"The Titan'S Curse: Percy Jackson, Book 3",RickRiordan,,,JesseBernstein,,,8 hrs and 48 mins,0.08:48:00,14-01-2010,English,4.5,820.00,"14-01-2010, English"
Magic Tree House Collection: Books 9-16,MaryPopeOsborne,,,MaryPopeOsborne,,,5 hrs and 23 mins,0.05:23:00,24-08-2011,English,5,1206.00,"24-08-2011, English"
Magic Tree House Collection: Books 1-8,MaryPopeOsborne,,,MaryPopeOsborne,,,6 hrs and 1 min,0.06:01:00,27-09-2011,English,5,1206.00,"27-09-2011, English"
Magnus Chase And The Ship Of The Dead,RickRiordan,,,MichaelCrouch,,,12 hrs and 58 mins,0.12:58:00,03-10-2017,English,5,820.00,"03-10-2017, English"
Northern Lights,PhilipPullman,,,PhilipPullman,fullcast,RuthWilson,11 hrs and 55 mins,0.11:55:00,24-06-2021,English,4,1093.00,"24-06-2021, English"
Geronimo Stilton #13 And #14,GeronimoStilton,,,BillLobley,,,2 hrs and 25 mins,0.02:25:00,08-02-2008,English,4.5,467.00,"08-02-2008, English"
Magic Tree House Collection,MaryPopeOsborne,,,MaryPopeOsborne,,,5 hrs and 4 mins,0.05:04:00,26-12-2004,English,5,1206.00,"26-12-2004, English"
Exile,ShannonMessenger,,,CaitlinKelly,,,14 hrs and 41 mins,0.14:41:00,06-11-2018,English,5,836.00,"06-11-2018, English"
Merlin Mission Collection,MaryPopeOsborne,,,MaryPopeOsborne,,,10 hrs and 18 mins,0.10:18:00,02-05-2017,English,5,1256.00,"02-05-2017, English"
Neverseen,ShannonMessenger,,,CaitlinKelly,,,16 hrs and 42 mins,0.16:42:00,06-11-2018,English,5,1003.00,"06-11-2018, English"
The Tower Of Nero,RickRiordan,,,RobbieDaymond,,,12 hrs and 12 mins,0.12:12:00,06-10-2020,English,5,615.00,"06-10-2020, English"
"Eldest: The Inheritance Cycle, Book 2",ChristopherPaolini,,,GerrardDoyle,,,23 hrs and 29 mins,0.23:29:00,14-04-2009,English,4.5,957.00,"14-04-2009, English"
Artemis Fowl,EoinColfer,,,GerryO'Brien,,,6 hrs and 46 mins,0.06:46:00,11-04-2013,English,5,683.00,"11-04-2013, English"
Geronimo Stilton 22 & 24,GeronimoStilton,,,BillLobley,,,2 hrs and 37 mins,0.02:37:00,01-02-2011,English,4.5,469.00,"01-02-2011, English"
Percy Jackson And The Battle Of The Labyrinth,RickRiordan,,,JesseBernstein,,,10 hrs and 32 mins,0.10:32:00,21-01-2010,English,5,820.00,"21-01-2010, English"
Winnie-The-Pooh,A.A.Milne,,,PeterDennis,,,2 hrs and 46 mins,0.02:46:00,28-12-2003,English,5,468.00,"28-12-2003, English"
Magic Tree House Collection: Books 25-32,MaryPopeOsborne,,,MaryPopeOsborne,,,7 hrs and 9 mins,0.07:09:00,01-09-2020,English,5,1256.00,"01-09-2020, English"
Geronimo Stilton #20 And #21,GeronimoStilton,,,BillLobley,,,2 hrs and 32 mins,0.02:32:00,01-10-2010,English,5,469.00,"01-10-2010, English"
The Red Pyramid,RickRiordan,,,JaneCollingwood,JosephMay,,13 hrs and 44 mins,0.13:44:00,24-01-2013,English,4.5,820.00,"24-01-2013, English"
Mystery Of The Griefer'S Mark,WinterMorgan,,,LukeDaniels,,,1 hr and 53 mins,0.01:53:00,25-11-2014,English,5,233.00,"25-11-2014, English"
Geronimo Stilton #17,GeronimoStilton,,,BillLobley,,,2 hrs and 28 mins,0.02:28:00,13-07-2009,English,5,468.00,"13-07-2009, English"
The House At Pooh Corner,A.A.Milne,,,PeterDennis,,,3 hrs and 12 mins,0.03:12:00,05-04-2005,English,5,374.00,"05-04-2005, English"
Mission Unstoppable,DanGutman,,,MichaelGoldstrom,,,6 hrs and 8 mins,0.06:08:00,01-08-2013,English,5,702.00,"01-08-2013, English"
Darkness Of Dragons,TuiT.Sutherland,,,ShannonMcManus,,,10 hrs and 26 mins,0.10:26:00,01-08-2017,English,5,656.00,"01-08-2017, English"
"14 Short Stories Bundle For Kids: Adventure, Science Fiction, Aesop’S Fables, Classic Fairy Tales And Christmas Story Books For Children",NayomiPhillips,,,MonicaRachelle,JimD.Johnston,KatieOtten,3 hrs and 13 mins,0.03:13:00,22-01-2019,English,,501.00,"22-01-2019, English"
The Adventures Of Rusty,RuskinBond,,,NehaGargava,,,5 hrs and 41 mins,0.05:41:00,01-11-2018,Hindi,4.5,284.00,"01-11-2018, Hindi"
Geronimo Stilton #15 And #16,GeronimoStilton,,,BillLobley,,,2 hrs and 43 mins,0.02:43:00,08-02-2008,English,4,467.00,"08-02-2008, English"
The Lost Heir,TuiT.Sutherland,,,ShannonMcManus,,,7 hrs and 23 mins,0.07:23:00,04-02-2016,English,5,575.00,"04-02-2016, English"
Everblaze,ShannonMessenger,,,CaitlinKelly,,,14 hrs and 39 mins,0.14:39:00,06-11-2018,English,5,836.00,"06-11-2018, English"
Treasure Hunters In Trouble,WinterMorgan,,,LukeDaniels,,,1 hr and 58 mins,0.01:58:00,31-03-2015,English,5,668.00,"31-03-2015, English"
Lodestar,ShannonMessenger,,,CaitlinKelly,,,16 hrs and 31 mins,0.16:31:00,06-11-2018,English,5,1003.00,"06-11-2018, English"
Curse Of The Arctic Star,CarolynKeene,,,JorjeanaMarie,,,3 hrs and 35 mins,0.03:35:00,28-12-2014,English,4.5,305.00,"28-12-2014, English"
The Ghost Of Grey Fox Inn,CarolynKeene,,,JorjeanaMarie,,,3 hrs and 19 mins,0.03:19:00,20-03-2017,English,5,305.00,"20-03-2017, English"
Rowley Jefferson'S Awesome Friendly Adventure,JeffKinney,,,ChristopherGebauer,,,1 hr and 31 mins,0.01:31:00,04-08-2020,English,4,410.00,"04-08-2020, English"
Flashback,ShannonMessenger,,,CaitlinKelly,,,23 hrs and 9 mins,0.23:09:00,11-12-2018,English,5,1170.00,"11-12-2018, English"
Secret Of The Red Arrow,FranklinW.Dixon,,,TimGregory,,,3 hrs and 33 mins,0.03:33:00,04-11-2015,English,4.5,305.00,"04-11-2015, English"
"The Lightning Thief: Percy Jackson, Book 1",RickRiordan,,,WalterLewis,,,3 hrs and 51 mins,0.03:51:00,13-01-2010,English,4,615.00,"13-01-2010, English"
Clash Of The Creepers,WinterMorgan,,,LukeDaniels,,,2 hrs and 1 min,0.02:01:00,07-07-2015,English,5,233.00,"07-07-2015, English"
The Skeletons Strike Back,WinterMorgan,,,LukeDaniels,,,2 hrs and 1 min,0.02:01:00,07-07-2015,English,5,233.00,"07-07-2015, English"
Dragonslayer,TuiT.Sutherland,,,ShannonMcManus,,,12 hrs and 44 mins,0.12:44:00,03-03-2020,English,5,656.00,"03-03-2020, English"
A Bear Called Paddington,MichaelBond,,,StephenFry,,,2 hrs and 39 mins,0.02:39:00,24-06-2008,English,,266.00,"24-06-2008, English"
Gregor And The Curse Of The Warmbloods,SuzanneCollins,,,PaulBoehmer,,,7 hrs and 47 mins,0.07:47:00,26-12-2004,English,,1005.00,"26-12-2004, English"
The Dark Secret,TuiT.Sutherland,,,ShannonMcManus,,,7 hrs and 35 mins,0.07:35:00,01-07-2016,English,5,575.00,"01-07-2016, English"
The Gruffalo'S Child,JuliaDonaldson,AxelScheffler,,ImeldaStaunton,,,22 mins,0.00:22:00,19-08-2010,English,4.5,323.00,"19-08-2010, English"
Merlin Mission Collection,MaryPopeOsborne,,,MaryPopeOsborne,,,13 hrs and 24 mins,0.13:24:00,02-05-2017,English,5,1256.00,"02-05-2017, English"
Keys To The Demon Prison,BrandonMull,,,E.B.Stevens,,,17 hrs and 37 mins,0.17:37:00,01-08-2013,English,5,516.00,"01-08-2013, English"
Legacy,ShannonMessenger,,,CaitlinKelly,,,22 hrs and 55 mins,0.22:55:00,05-11-2019,English,5,1170.00,"05-11-2019, English"
The Endermen Invasion,WinterMorgan,,,LukeDaniels,,,2 hrs and 2 mins,0.02:02:00,26-05-2015,English,5,233.00,"26-05-2015, English"
Captain Underpants And The Revolting Revenge Of The Radioactive Robo-Boxers,DavPilkey,,,LenForgione,AshtonSundholm,JadenRogers,2 hrs and 10 mins,0.02:10:00,02-11-2021,English,5,445.00,"02-11-2021, English"
You Only Die Twice,DanGutman,,,MichaelGoldstrom,,,5 hrs and 49 mins,0.05:49:00,17-09-2013,English,5,585.00,"17-09-2013, English"
From Texas With Love,DanGutman,,,MichaelGoldstrom,,,5 hrs and 27 mins,0.05:27:00,28-01-2014,English,5,702.00,"28-01-2014, English"
Across The Desert,DustiBowling,,,StacyGonzalez,,,6 hrs and 13 mins,0.06:13:00,29-03-2022,English,,703.00,"29-03-2022, English"
Unicorn Academy: Aisha And Silver,JulieSykes,,,KristinAtherton,,,1 hr and 34 mins,0.01:34:00,10-03-2022,English,,266.00,"10-03-2022, English"
Laura Blackman And The Five Cunning Aardvarks,StellaRobson,,,DerekSteel,,,13 mins,0.00:13:00,15-12-2021,English,,117.00,"15-12-2021, English"
The Dragonet Prophecy,TuiT.Sutherland,,,ShannonMcManus,,,8 hrs and 32 mins,0.08:32:00,01-07-2012,English,5,820.00,"01-07-2012, English"
Dangerous Gift,TuiT.Sutherland,,,ShannonMcManus,,,7 hrs and 51 mins,0.07:51:00,02-03-2021,English,5,445.00,"02-03-2021, English"
"The 39 Clues, Book 6",JudeWatson,,,DavidPittu,,,5 hrs and 10 mins,0.05:10:00,06-11-2009,English,5,468.00,"06-11-2009, English"
Never Say Genius,DanGutman,,,MichaelGoldstrom,,,5 hrs and 27 mins,0.05:27:00,23-08-2013,English,5,585.00,"23-08-2013, English"
The Madman Of Black Bear Mountain,FranklinW.Dixon,,,TimGregory,,,2 hrs and 54 mins,0.02:54:00,07-06-2016,English,5,305.00,"07-06-2016, English"
Unicorn Academy: Zara And Moonbeam,JulieSykes,,,KristinAtherton,,,1 hr and 35 mins,0.01:35:00,10-03-2022,English,,266.00,"10-03-2022, English"
El Fantasma De La Bodega,FranciscoDíazValladares,,,NuriaSamsó,,,2 hrs and 23 mins,0.02:23:00,04-04-2022,spanish,,192.00,"04-04-2022, spanish"
El Paseo Encantado,Mattel,,,VanessaPérezJurado,,,33 mins,0.00:33:00,01-04-2022,spanish,,76.00,"01-04-2022, spanish"
Wigetta,Vegetta777,Willyrex,,ÁlexdePorrata,,,3 hrs and 37 mins,0.03:37:00,05-04-2022,spanish,,192.00,"05-04-2022, spanish"
Aru Shah And The Nectar Of Immortality,RoshaniChokshi,,,SoneelaNankani,,,11 hrs and 19 mins,0.11:19:00,05-04-2022,English,,821.00,"05-04-2022, English"
Barnabas Der Wolkenschaufler,SophieSchoenwald,NadineReitz-Illustrator,,BerndReheuser,,,2 hrs and 56 mins,0.02:56:00,04-04-2022,german,,200.00,"04-04-2022, german"
The Boy In The Post,HollyRivers,,,SusieTrayling,,,6 hrs and 58 mins,0.06:58:00,01-04-2022,English,,706.00,"01-04-2022, English"
Thornwood,LeahCypess,,,JessicaAlmasy,,,5 hrs and 41 mins,0.05:41:00,05-04-2022,English,,904.00,"05-04-2022, English"
7 Histoires D'Aventures !,BertrandFichou,NoraThullin,CatherinedeLasa,GuyChappelier,FrédéricSanchez,MarieZidi,43 mins,0.00:43:00,11-02-2022,french,,679.00,"11-02-2022, french"
Le Loup Qui Devenait Chef De La For�t,OrianneLallemand,,,WillProduction,,,9 mins,0.00:09:00,01-04-2022,french,,112.00,"01-04-2022, french"
Curse Of The Robo-Dragon,AdamBlade,,,TheoSolomon,,,2 hrs and 6 mins,0.02:06:00,01-04-2022,English,,531.00,"01-04-2022, English"
Call Of The Crow,JessicaKhoury,,,MichaelGallagher,EmilyEiden,,9 hrs and 30 mins,0.09:30:00,05-04-2022,English,,586.00,"05-04-2022, English"
Glass Slippers,LeahCypess,,,KeylorLeigh,,,5 hrs and 38 mins,0.05:38:00,05-04-2022,English,,904.00,"05-04-2022, English"
Captain Underpants And The Sensational Saga Of Sir Stinks-A-Lot,DavPilkey,,,LenForgione,WinstonBromhead,I'keMitchell,1 hr and 37 mins,0.01:37:00,05-04-2022,English,,586.00,"05-04-2022, English"
Tiger Honor,YoonHaLee,,,ElissaPark,,,7 hrs and 36 mins,0.07:36:00,04-01-2022,English,5,586.00,"04-01-2022, English"
The Amulet Of Samarkand,JonathanStroud,,,StevenPacey,,,9 hrs and 30 mins,0.09:30:00,01-02-2007,English,5,683.00,"01-02-2007, English"
Rowley Jefferson'S Awesome Friendly Spooky Stories,JeffKinney,,,ChristopherGebauer,,,1 hr and 29 mins,0.01:29:00,16-03-2021,English,3.5,410.00,"16-03-2021, English"
Lost In The End,WinterMorgan,,,SummerMcCusker,,,1 hr and 43 mins,0.01:43:00,06-04-2016,English,5,233.00,"06-04-2016, English"
Trouble Island,FranklinW.Dixon,,,TimGregory,,,4 hrs and 24 mins,0.04:24:00,01-06-2021,English,5,305.00,"01-06-2021, English"
Terrors Of The Forest,MarkCheverton,,,NickWalther,,,8 hrs and 12 mins,0.08:12:00,25-01-2022,English,,703.00,"25-01-2022, English"
Riverboat Roulette,CarolynKeene,,,JorjeanaMarie,,,2 hrs and 46 mins,0.02:46:00,20-03-2017,English,5,305.00,"20-03-2017, English"
The Book Of Chaos,JessicaRenwick,,,RebaBuhr,,,5 hrs and 30 mins,0.05:30:00,15-03-2022,English,,1172.00,"15-03-2022, English"
"Fortunately, The Milk...",NeilGaiman,,,NeilGaiman,,,58 mins,0.00:58:00,22-11-2021,English,,683.00,"22-11-2021, English"
Discoveries In The Overworld,WinterMorgan,,,SummerMcCusker,,,1 hr and 49 mins,0.01:49:00,06-04-2016,English,5,233.00,"06-04-2016, English"
The Last Human,LeeBacon,,,PaulPanting,,,6 hrs and 42 mins,0.06:42:00,03-10-2019,English,5,949.00,"03-10-2019, English"
Welcome To Smellville,R.L.Stine,,,JordanFisher,DaschaPolanco,JonieceAbbott-Pratt,3 hrs and 18 mins,0.03:18:00,29-09-2020,English,,585.00,"29-09-2020, English"
An Explorer'S Guide To The Nether,WinterMorgan,,,SummerMcCusker,,,1 hr and 50 mins,0.01:50:00,30-03-2016,English,5,233.00,"30-03-2016, English"
The Midnight Gang,DavidWalliams,,,DavidWalliams,PeterSerafinowicz,MorwennaBanks,6 hrs and 9 mins,0.06:09:00,15-11-2016,English,4.5,322.00,"15-11-2016, English"
As The Falcon Flies,FranklinW.Dixon,,,AdamVerner,,,3 hrs and 8 mins,0.03:08:00,04-01-2022,English,,305.00,"04-01-2022, English"
The Squad Of Lucky Landing: An Unofficial Fortnite Adventure Novel,DevinHunter,,,RamonDeOcampo,,,2 hrs and 11 mins,0.02:11:00,30-10-2018,English,5,585.00,"30-10-2018, English"
Pahua And The Soul Stealer,LoriM.Lee,,,SamanthaTan,,,11 hrs and 12 mins,0.11:12:00,07-09-2021,English,,702.00,"07-09-2021, English"
El Monstruo Marino Secreto,Mattel,,,VanessaPérezJurado,,,30 mins,0.00:30:00,01-04-2022,spanish,,76.00,"01-04-2022, spanish"
Sabotage On The Solar Express,M.G.Leonard,SamSedgman,,ElisaPaganelli,JotDavies,,5 hrs and 35 mins,0.05:35:00,17-02-2022,English,,323.00,"17-02-2022, English"
A Boy Called Christmas,MattHaig,,,StephenFry,,,4 hrs and 32 mins,0.04:32:00,03-11-2016,English,4.5,569.00,"03-11-2016, English"
"The 39 Clues, Book 4",JudeWatson,,,DavidPittu,,,4 hrs and 37 mins,0.04:37:00,23-06-2009,English,5,468.00,"23-06-2009, English"
"The 39 Clues, Book 3",PeterLerangis,,,DavidPittu,,,3 hrs and 51 mins,0.03:51:00,03-03-2009,English,5,468.00,"03-03-2009, English"
The Disappearance,FranklinW.Dixon,,,TimGregory,,,3 hrs and 50 mins,0.03:50:00,14-05-2019,English,4,305.00,"14-05-2019, English"
Once Upon A Crime,RobinStevens,,,KatieLeung,RebeccaLee,AlexanderCapon,6 hrs and 50 mins,0.06:50:00,05-08-2021,English,,615.00,"05-08-2021, English"
Billionaire Boy,DavidWalliams,,,DavidWalliams,NitinGanatra,,3 hrs and 8 mins,0.03:08:00,09-06-2011,English,5,266.00,"09-06-2011, English"
The Blue Lady Of Coffin Hall,CarolynKeene,,,JorjeanaMarie,,,3 hrs and 52 mins,0.03:52:00,04-01-2022,English,5,305.00,"04-01-2022, English"
Danger At Dead Man'S Pass,M.G.Leonard,SamSedgman,ElisaPaganelli-illustrator,JotDavies,,,6 hrs and 48 mins,0.06:48:00,16-09-2021,English,,323.00,"16-09-2021, English"
Unlocked,ShannonMessenger,,,CaitlinKelly,,,16 hrs and 2 mins,0.16:02:00,04-06-2021,English,3,836.00,"04-06-2021, English"
The Danger Gang,TomFletcher,,,TomFelton,TomFletcher,,4 hrs and 12 mins,0.04:12:00,01-10-2020,English,,615.00,"01-10-2020, English"
Mountain Mare,TerriFarley,,,NatalieBudig,,,3 hrs and 55 mins,0.03:55:00,25-01-2022,English,,398.00,"25-01-2022, English"
The Princess In Black And The Mermaid Princess,ShannonHale,DeanHale,,JuliaWhelan,,,20 mins,0.00:20:00,01-02-2022,English,,352.00,"01-02-2022, English"
The Vanishing Statue,CarolynKeene,,,JorjeanaMarie,,,4 hrs and 5 mins,0.04:05:00,16-06-2020,English,5,305.00,"16-06-2020, English"
Eye Of The Earthquake Dragon,TraceyWest,,,EmilyEllet,,,45 mins,0.00:45:00,04-08-2020,English,5,164.00,"04-08-2020, English"
Peril At Granite Peak,FranklinW.Dixon,,,TimGregory,,,3 hrs and 30 mins,0.03:30:00,21-01-2016,English,5,305.00,"21-01-2016, English"
Barbie - Aventura Espacial,Mattel,MartaCisaMuñoz-traductor,,MiriamMonlleo,,,12 mins,0.00:12:00,02-02-2022,catalan,,76.00,"02-02-2022, catalan"
The Disappearance Of Emily Downs,C.J.Redwine,,,MiaSinclairJenness,,,4 hrs and 56 mins,0.04:56:00,30-09-2021,English,5,1003.00,"30-09-2021, English"
The Solution,KatherineApplegate,,,EmilyEllet,,,2 hrs and 54 mins,0.02:54:00,02-11-2021,English,,656.00,"02-11-2021, English"
The Great Greenfield Bake-Off,GertrudeChandlerWarner,,,AimeeLilly,,,1 hr and 41 mins,0.01:41:00,01-09-2021,English,,234.00,"01-09-2021, English"
Into Thin Air,FranklinW.Dixon,,,TimGregory,,,2 hrs and 39 mins,0.02:39:00,21-01-2016,English,5,305.00,"21-01-2016, English"
Once Upon A Thriller,CarolynKeene,,,JorjeanaMarie,,,2 hrs and 21 mins,0.02:21:00,24-09-2015,English,5,305.00,"24-09-2015, English"
The Magician'S Nephew,C.S.Lewis,,,KennethBranagh,,,3 hrs and 55 mins,0.03:55:00,29-08-2005,English,5,303.00,"29-08-2005, English"
Leonora Bolt: Secret Inventor,LucyBrandt,,,NicoleDavis,,,2 hrs and 55 mins,0.02:55:00,20-01-2022,English,,410.00,"20-01-2022, English"
The Snail And The Whale,JuliaDonaldson,,,ImeldaStaunton,,,23 mins,0.00:23:00,07-10-2008,English,5,323.00,"07-10-2008, English"
Tigers For Dinner,RuskinBond,,,AdnanKapadia,,,39 mins,0.00:39:00,01-01-2017,English,4.5,284.00,"01-01-2017, English"
The Hidden Kingdom,TuiT.Sutherland,,,ShannonMcManus,,,7 hrs and 34 mins,0.07:34:00,01-07-2016,English,5,575.00,"01-07-2016, English"
Eagle Strike,AnthonyHorowitz,,,OliverChris,,,6 hrs and 57 mins,0.06:57:00,20-05-2021,English,5,569.00,"20-05-2021, English"
Captain Marvel - Ultron Blir Viral,Marvel,CamillaDunér,,MalinLybeck,,,11 mins,0.00:11:00,11-01-2022,swedish,,32.00,"11-01-2022, swedish"
Toy Story 4,Disney,OskarBlomberg,,FrederickHalbout,,,2 hrs and 27 mins,0.02:27:00,07-01-2022,swedish,,166.00,"07-01-2022, swedish"
Three Lost Seeds,StephieMorton,NicoleWong-illustrator,,StevenJayCohen,,,13 mins,0.00:13:00,08-02-2022,English,,234.00,"08-02-2022, English"
Mystery On The Mayhem Express,FranklinW.Dixon,,,TimGregory,,,3 hrs and 58 mins,0.03:58:00,22-06-2021,English,5,305.00,"22-06-2021, English"
Tunnel Of Secrets,FranklinW.Dixon,,,TimGregory,,,3 hrs and 3 mins,0.03:03:00,02-11-2015,English,5,305.00,"02-11-2015, English"
Barbie - La Puerta Secreta,Mattel,NicolásOluchaSánchez,,BeatrizOlcina,,,11 mins,0.00:11:00,29-11-2021,spanish,,38.00,"29-11-2021, spanish"
A Scuola Con Pongo E Tim: Henry Every,GiuliaSegreti,,,GiuliaSegreti,MarcoCognigni,,11 mins,0.00:11:00,09-02-2022,italian,,75.00,"09-02-2022, italian"
Black Panther: Spellbound,RonaldL.Smith,,,DionGraham,,,5 hrs and 38 mins,0.05:38:00,01-02-2022,English,,469.00,"01-02-2022, English"
"The 39 Clues: Unstoppable, Book 3",NatalieStandiford,,,DavidPittu,,,4 hrs and 49 mins,0.04:49:00,01-05-2014,English,4.5,410.00,"01-05-2014, English"
Hello Kitty - El Club De La Amistad,Sanrio,NeusCasanovaVico,,EvaAndrés,,,42 mins,0.00:42:00,10-11-2021,spanish,,76.00,"10-11-2021, spanish"
Treasure Island,RobertLouisStevenson,,,SamTaylor,,,6 hrs and 44 mins,0.06:44:00,06-09-2019,English,4,32.00,"06-09-2019, English"
The Human Body,Ladybird,,,BenBaileySmith,,,43 mins,0.00:43:00,17-09-2020,English,,410.00,"17-09-2020, English"
Minecraft: The Dragon,NickyDrayden,,,NicoleLewis,,,6 hrs and 51 mins,0.06:51:00,06-07-2021,English,5,1005.00,"06-07-2021, English"
The Christmasaurus And The Naughty List,TomFletcher,ShaneDevries-illustrator,,PaulShelley,TomFletcher,,6 hrs and 15 mins,0.06:15:00,14-10-2021,English,,615.00,"14-10-2021, English"
Das Exil,ShannonMessenger,DorisAttwood-Übersetzer,,DavidNathan,,,15 hrs and 45 mins,0.15:45:00,25-10-2021,german,,468.00,"25-10-2021, german"
El Cerdito De Navidad [The Christmas Pig],J.K.Rowling,,,CristinaTenorio,,,7 hrs and 18 mins,0.07:18:00,12-10-2021,spanish,,799.00,"12-10-2021, spanish"
Big Change For Stuart,LissaEvans,,,LissaEvans,,,5 hrs and 12 mins,0.05:12:00,01-09-2021,English,,664.00,"01-09-2021, English"
The Imagination Box: Beyond Infinity,MartynFord,,,JoshuaMcGuire,,,5 hrs and 1 min,0.05:01:00,28-09-2021,English,,569.00,"28-09-2021, English"
Camp Daze,R.L.Stine,,,JamesMurray,KirbyHeyborne,InésdelCastillo,3 hrs,0.03:00:00,12-10-2021,English,,585.00,"12-10-2021, English"
Vaiana,Disney,ÅsaMalm,,LisaAhnlund,,,2 hrs and 55 mins,0.02:55:00,28-10-2021,swedish,,166.00,"28-10-2021, swedish"
Myth Of The Rain Forest Monster,GertrudeChandlerWarner,,,AimeeLilly,,,1 hr and 46 mins,0.01:46:00,01-09-2021,English,,234.00,"01-09-2021, English"
Little Badman And The Time-Travelling Teacher Of Doom,HumzaArshad,HenryWhite,,HumzaArshad,,,5 hrs and 35 mins,0.05:35:00,21-08-2020,English,,615.00,"21-08-2020, English"
The Great Dream Robbery,GregJames,ChrisSmith,,GregJames,ChrisSmith,,5 hrs and 48 mins,0.05:48:00,16-09-2021,English,,410.00,"16-09-2021, English"
Barbie - Superprincesa,Mattel,NicolásOluchaSánchez,,BeatrizOlcina,,,26 mins,0.00:26:00,15-10-2021,spanish,,38.00,"15-10-2021, spanish"
Barbie - El Campamento De Princesas,Mattel,,,VanessaPérezJurado,,,33 mins,0.00:33:00,07-03-2022,spanish,,38.00,"07-03-2022, spanish"
Barbie - Dreamtopia,Mattel,,,VanessaPérezJurado,,,21 mins,0.00:21:00,07-03-2022,spanish,,38.00,"07-03-2022, spanish"
Barbie - Superprincesa,Mattel,,,VanessaPérezJurado,,,29 mins,0.00:29:00,07-03-2022,spanish,,38.00,"07-03-2022, spanish"
Among Us Book - Red Diary,ZeekidMedia,,,TommyJay,,,1 hr and 19 mins,0.01:19:00,16-06-2021,English,,204.00,"16-06-2021, English"
We’Re Going To Find The Monster,MalorieBlackman,DapoAdeola,,MalorieBlackman,,,6 mins,0.00:06:00,28-10-2021,English,,410.00,"28-10-2021, English"
Ut I Det Vilda,ErinHunter,,,MattiasLinderoth,,,8 hrs and 15 mins,0.08:15:00,26-08-2021,swedish,,568.00,"26-08-2021, swedish"
The Imagination Box: A Mind Of Its Own,MartynFord,,,JoshuaMcGuire,,,6 hrs and 17 mins,0.06:17:00,28-09-2021,English,,569.00,"28-09-2021, English"
Dungeons & Dragons: The Mad Mage'S Academy,MattForbeck,,,GildartJackson,TimCampbell,,2 hrs and 15 mins,0.02:15:00,26-05-2020,English,,1172.00,"26-05-2020, English"
Scary Stories For Young Foxes: The City,ChristianMcKayHeidicker,JunyiWu-illustrator,,ChristianMcKayHeidicker,,,9 hrs and 13 mins,0.09:13:00,28-09-2021,English,,703.00,"28-09-2021, English"
Med Kunglig St�Mpel,JeffreyArcher,MariaNilsson,,MagnusSchmitz,,,29 mins,0.00:29:00,07-03-2022,swedish,,32.00,"07-03-2022, swedish"
Bolt,Disney,NilsWadström,,FrederickHalbout,,,2 hrs and 21 mins,0.02:21:00,07-03-2022,swedish,,166.00,"07-03-2022, swedish"
The Tenth Son,AyanMalpani,AshishMalpani,,YohanChacko,,,4 hrs and 17 mins,0.04:17:00,01-03-2022,English,,186.00,"01-03-2022, English"
Escape From Falaise,JohnFlanagan,,,JohnKeating,,,7 hrs and 37 mins,0.07:37:00,01-12-2021,English,4.5,797.00,"01-12-2021, English"
The Jungle Book,RudyardKipling,LisaChurch-adaptation,,RebeccaK.Reynolds,,,2 hrs and 31 mins,0.02:31:00,04-08-2020,English,,305.00,"04-08-2020, English"
Pj Masks - 3-Minuten-Gutenachtgeschichten,eOne,,,MontyArnold,,,31 mins,0.00:31:00,31-03-2022,german,,99.00,"31-03-2022, german"
Opapi-Opapa - Volle Kraft Voraus!,PaulMcCartney,,,KaiLüftner,,,11 mins,0.00:11:00,29-03-2022,german,,65.00,"29-03-2022, german"
Opapi-Opapa - Besuch Von Den Krawaffels,PaulMcCartney,,,KaiLüftner,,,10 mins,0.00:10:00,29-03-2022,german,,65.00,"29-03-2022, german"
